name,sqm,year_built,Price(EGP),Price/Sqm,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,LowFloor,MidFloor,FloorNumber,BuildingNumber,UnitNumber,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_0,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_0,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Cairo,city_Mansoura,city_Mersa Matruh,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,governorate_Alexandria,governorate_Cairo,governorate_Dakahlia,governorate_Matrouh,propertyCategory_Commercial,propertyCategory_Residential,propertySubType_Apartment (Residential - Multi-Story Units),propertySubType_Office,propertySubType_Others(very rare),propertySubType_Residential - Attached Houses,propertySubType_Retail,Is sqm outlier,Is Price/Sqm outlier,Is Price(EGP) outlier,Is BuildingNumber outlier,Is FloorNumber outlier,Is UnitNumber outlier,log(sqm),log(price),log(price/sqm)
New Garden City,183.0,2025,7860000,42950.8197,1,1,0,0,0,0,0,1,7,722,72272,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,5.209486152841421,15.87729716440539,10.667811012212823
Downtown Extension,163.0,2022,7676000,47092.0245,1,1,0,1,1,0,0,1,7,12,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.093750200806762,15.853609136109728,10.75985893445617
Central,181.47,2025,35769000,197106.9598,1,1,0,1,0,0,0,1,5,7,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.201090350786933,17.392592154456377,12.191501803527032
Al Fustat,166.16,2025,4479000,26955.9461,1,1,0,1,0,0,0,1,6,15,15,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.112951179567857,15.314910365189437,10.201959186509278
Latin City,134.0,2025,6505000,48544.7761,0,1,0,0,1,0,0,1,3,3,301308,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,4.897839799950911,15.688081669928742,10.79024186957814
Alamain (Latin District),230.34,2025,5763000,25019.5363,1,1,0,0,1,0,1,0,1,1,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.439556478240761,15.566968730418804,10.1274122506757
Alamain (Latin District),231.25,2025,8583000,37115.6757,1,1,0,0,1,0,1,0,1,11,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.443499376392535,15.965294060700357,10.521794684963188
Latin City,162.0,2025,7010000,43271.6049,0,1,0,0,1,0,0,1,4,3,307413,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.087596335232384,15.762848259010774,10.675251922893938
Beachfront Tower - B1,316.0,2025,55262000,174879.7468,0,0,0,0,1,1,0,0,16,1,1168,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.755742213586912,17.827596069348946,12.071853855559363
Latin City,239.0,2022,7797000,32623.431,1,1,0,1,1,1,0,0,36,6,655704,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,True,True,5.476463551931511,15.869249602291736,10.392786051514516
Mazarine Apartment,252.0,2025,15136000,60063.4921,1,1,0,0,0,0,1,0,0,1,101,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.532586570273796,11.003157483370195
Mazarine Apartment,251.0,2022,13790000,54940.239,1,1,0,1,1,0,0,1,3,30,3041,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.5254529391317835,16.439454249769483,10.914001309840021
Downtown Extension,181.0,2025,6216000,34342.5414,1,1,0,1,0,0,1,0,0,7,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.198497031265826,15.642637171029621,10.444140138702018
Central,137.69,2025,31206000,226639.5526,1,1,0,1,0,0,1,0,2,5,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,4.925004781456281,17.256120941983266,12.331116160446678
Latin City,247.0,2022,8058000,32623.4818,0,1,0,1,1,0,1,0,0,6,652606,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.5093883366279774,15.902175944733429,10.392787608676313
Alamain (Latin District),230.55,2025,7444000,32288.0069,1,1,0,0,1,0,0,1,7,13,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.440467758652715,15.822918896744278,10.382451136854998
New Garden City,168.0,2025,7370000,43869.0476,1,1,0,0,0,0,0,1,3,645,64537,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,5.123963979403259,15.812928264165519,10.688964284328067
New Garden City,175.0,2025,21067000,120382.8571,1,1,0,0,1,0,1,0,0,883,883,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False,True,False,True,False,False,5.1647859739235145,16.863218393108607,11.698432418829086
Alamain (Latin District),238.7,2025,5749000,24084.6251,1,1,0,0,1,0,0,1,4,13,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.4752075333447845,15.564536484605428,10.089328953238379
Alamain (Latin District),132.52,2025,5313000,40092.0616,1,1,0,0,1,0,0,1,4,6,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.886733577431695,15.48566720543308,10.598933628609704
